.,11.1325,
>,-0.17267023,
<,2.4528084,
.,11.0,
>,-0.22552226,
<,2.8690736,
.,10.5475,
>,0.02410873,
<,2.5236614,
.,11.855,
>,0.0908577,
<,1.3664169,
.,11.215,
>,0.34995538,
<,1.886205,
.,11.2925,
>,-0.27908102,
<,2.6415377,
.,10.3325,
>,0.101687156,
<,4.009251,
.,11.31,
>,0.049522743,
<,2.198905,
.,11.74,
>,-0.2424273,
<,1.6740305,
.,11.2475,
>,-0.37322325,
<,1.6228032,
.,10.995,
>,-0.087165594,
<,1.8532063,
.,11.845,
>,-0.04133116,
<,4.33537,
.,11.5375,
>,-0.1126232,
<,1.9860697,
.,11.9075,
>,0.1375823,
<,1.7068919,
.,11.285,
>,0.076260544,
<,2.8920054,
.,10.9575,
>,-0.006104709,
<,3.3789566,
.,11.4325,
>,0.13753578,
<,3.403387,
.,11.305,
>,0.18160482,
<,2.0909379,
.,11.3825,
>,0.17616765,
<,4.2000294,
.,10.78,
>,0.17635955,
<,2.4658852,
.,11.405,
>,0.002285989,
<,1.948483,
.,11.2675,
>,-0.07028318,
<,2.0480468,
.,11.465,
>,-0.07430318,
<,1.75634,
.,11.98,
MAX REWD: 11.98 REWD_ID: 101,
>,-0.22069104,
<,2.6278477,
.,11.455,
>,0.10375694,
<,1.4936975,
.,11.7375,
>,0.07191119,
<,2.12268,
.,10.8325,
>,0.033643134,
<,3.1552596,
.,11.4575,
>,-0.0995519,
<,3.3327909,
.,11.5975,
>,-0.02534958,
<,1.5339563,
.,11.09,
>,0.10597406,
<,3.397172,
.,11.3425,
>,0.2580857,
<,2.6260953,
.,11.03,
>,0.289963,
<,2.861285,
.,11.8175,
>,0.22075792,
<,1.12847,
.,11.505,
>,-0.08460042,
<,1.5813088,
.,11.48,
>,0.13207713,
<,1.9294245,
.,11.1875,
>,0.25426406,
<,4.1236353,
.,10.985,
>,0.28317204,
<,2.0250282,
.,11.76,
>,0.06464386,
<,1.6896942,
.,11.2775,
>,0.20367134,
<,4.1463537,
.,10.5275,
>,-0.1951488,
<,5.1586394,
.,11.4425,
>,-0.24994868,
<,3.1848211,
.,12.03,
MAX REWD: 12.03 REWD_ID: 119,
>,-0.12504138,
<,1.9229045,
.,11.7275,
>,-0.03974815,
<,2.0403633,
.,12.1325,
MAX REWD: 12.1325 REWD_ID: 121,
>,0.086228065,
<,2.1176844,
.,11.595,
>,-0.1365467,
<,2.3677146,
.,11.9925,
>,0.01982752,
<,2.0605063,
.,11.27,
>,0.06286018,
<,2.6757646,
.,11.1,
>,0.045418065,
<,2.0137935,
.,11.3725,
>,-0.020766253,
<,1.8323972,
.,11.5625,
>,0.17917798,
<,1.2270598,
.,11.69,
>,-0.035706557,
<,2.1433713,
.,11.8275,
>,0.1668291,
<,2.591583,
.,11.8975,
>,-0.4616324,
<,2.1145597,
.,11.345,
>,0.2937787,
<,3.7479265,
.,11.705,
>,0.23739141,
<,2.8603022,
.,11.2225,
>,0.021733187,
<,4.1652617,
.,10.8375,
>,-0.14280382,
<,1.680098,
.,12.2875,
MAX REWD: 12.2875 REWD_ID: 135,
>,0.16923563,
<,1.1996334,
.,12.2325,
>,0.1354101,
<,1.671987,
.,11.595,
>,0.075779125,
<,1.6249094,
.,11.845,
>,0.021467263,
<,2.886592,
.,11.005,
>,-0.13257936,
<,1.7537863,
.,12.14,
>,-0.3531305,
<,1.545631,
.,12.165,
>,-0.03261453,
<,2.7631853,
.,11.97,
>,0.16171035,
<,2.5898023,
.,11.8925,
